SP	GD	NUM_BP	DROPPED_PAIRS	SEQS	IUCN	status	Split	New Name	N_of_splits	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	Notes	Included in Phylogeny
Dendrocincla fuliginosa	0.038238513	1242259	2064	262	LC	Non-threatened	Dendrocincla turdina	NA	1	Dendrocincla turdina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Bleda notatus	0.038744277	47176	0	51	LC	Non-threatened	Bleda ugandae	NA	1	Bleda ugandae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Dendrocopos macei	0.038862904	185	16	6	LC	Non-threatened	Dendrocopos analis	NA	1	Dendrocopos analis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Colaptes rubiginosus	0.038885815	579	0	6	LC	Non-threatened	Colaptes aeruginosus	NA	1	Colaptes aeruginosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Saltator coerulescens	0.038927221	2053	0	11	LC	Non-threatened	Saltator olivascens, Saltator grandis	NA	2	Saltator olivascens	Saltator grandis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Cacicus uropygialis	0.039247852	535	0	6	LC	Non-threatened	Cacicus pacificus	NA	1	Cacicus pacificus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Scytalopus speluncae	0.039846112	79118	0	105	LC	Non-threatened	Scytalopus petrophilus, Scytalopus diamantinensis, Scytalopus novacapitalis, Scytalopus pachecoi, Scytalopus gonzagai	NA	5	Scytalopus petrophilus	Scytalopus diamantinensis	Scytalopus novacapitalis	Scytalopus pachecoi	Scytalopus gonzagai	NA	NA	NA	NA	NA	NA	NA	NA	No, No, Yes, Yes, No
Robsonius rabori	0.039917898	3336	0	13	VU	Threatened	Robsomius thompsoni, Robsonius sorsogonensis	NA	2	Robsomius thompsoni	Robsonius sorsogonensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, Yes
Basileuterus culicivorus	0.040484499	148736	168	85	LC	Non-threatened	Basileuterus cabanisi, Basileuterus auricapilla	NA	2	Basileuterus cabanisi	Basileuterus auricapilla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Microcerculus marginatus	0.041348956	179773	1234	101	LC	Non-threatened	Microcerculus philomela	NA	1	Microcerculus philomela	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Piranga flava	0.041670373	1914	0	10	LC	Non-threatened	Piranga hepatica	NA	1	Piranga hepatica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Pachycephala pectoralis	0.042233471	474	32	8	LC	Non-threatened	Split into ~8 species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Split into ~8 species	No
Caprimulgus longirostris	0.04231456	5048	0	16	LC	Non-threatened	Systellura decussata	NA	1	Systellura decussata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Phaeothlypis fulvicauda	0.042742506	1322	16	9	LC	Non-threatened	Myiothlypis mesoleuca, Myiothlypis rivularis, sometimes in Myiothlypis or Basileuterus	NA	2	Myiothlypis mesoleuca	Myiothlypis rivularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sometimes in Myiothlypis or Basileuterus	No, No
Cyanocompsa cyanoides	0.0429242	2739	0	12	LC	Non-threatened	Cyanoloxia rothschildii	NA	1	Cyanoloxia rothschildii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Sittasomus griseicapillus	0.043183092	410	10	6	LC	Non-threatened	Sittasomus griseus	NA	1	Sittasomus griseus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Gallinago gallinago	0.04443833	562	24	8	LC	Non-threatened	Gallinago wilsoni	NA	1	Gallinago wilsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Zosterops japonicus	0.045674978	9166	172	25	LC	Non-threatened	Zosterops meyeni	NA	1	Zosterops meyeni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Hypocnemis cantator	0.046321993	298	24	8	NT	Non-threatened	Hypocnemis subflava, Hypocnemis flavescens, Hypocnemis peruviana, Hypocnemis ochrogyna, Hypocnemis rondoni, Hypocnemis striata	NA	6	Hypocnemis subflava	Hypocnemis flavescens	Hypocnemis peruviana	Hypocnemis ochrogyna	Hypocnemis rondoni	Hypocnemis striata	NA	NA	NA	NA	NA	NA	NA	Yes, Yes, Yes, Yes, No, Yes
Geothlypis aequinoctialis	0.048077594	997	0	7	LC	Non-threatened	G. auricularis and G. chiriquensis (del Hoyo and Collar 2016) were lumped as G. aequinoctialis, following AOU (1998 & supplements)	NA	2	Geothlypis auricularis	Geothlypis chiriquensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G. auricularis and G. chiriquensis (del Hoyo and Collar 2016) were lumped as G. aequinoctialis, following AOU (1998 & supplements)	Yes, Yes
Picoides tridactylus	0.048457698	9824	484	33	LC	Non-threatened	P. funebris (del Hoyo and Collar 2014) were previously lumped as P. tridactylus following AOU (2003). P. tridactylus (del Hoyo and Collar 2014) was previously split into P. tridactylus and P. dorsalis following AOU (2003), and prior to that all three taxa were lumped as P. tridactylus following Sibley and Monroe (1990, 1993).	NA	2	Picoides funebris	Picoides dorsalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, Yes
Collocalia esculenta	0.049364461	16109	1012	45	LC	Non-threatened	C. dodgei	NA	1	Collocalia dodgei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Chlorospingus ophthalmicus	0.050766782	6901	0	16	LC	Non-threatened	Chlorospingus flavopectus (name change, not split)	Chlorospingus flavopectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Otus bakkamoena	0.053911968	526	10	6	LC	Non-threatened	O. semitorques, O. lettia and O. lempiji	NA	3	Otus semitorques	Otus lettia	Otus lempiji	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes, Yes
Conopophaga aurita	0.054233049	1917	0	9	LC	Non-threatened	Conopophaga snethlageae	NA	1	Conopophaga snethlageae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Xenops minutus	0.055287643	1163845	3474	216	LC	Non-threatened	Xenops genibarbis	NA	1	Xenops genibarbis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Megascops guatemalae	0.055520631	2062	54	12	LC	Non-threatened	Megascops vermiculatus	NA	1	Megascops vermiculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Aulacorhynchus prasinus	0.055610548	39065	1484	67	LC	Non-threatened	Aulacorhynchus wagleri, Aulacorhynchus caeruleogularis, Aulacorhynchus albivitta, Aulacorhynchus cyanolaemus, Aulacorhynchus atrogularis,  	NA	5	Aulacorhynchus wagleri	Aulacorhynchus caeruleogularis	Aulacorhynchus albivitta	Aulacorhynchus cyanolaemus	Aulacorhynchus atrogularis	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No, No, No
Ficedula hyperythra	0.060573329	7455	0	17	LC	Non-threatened	Ficedula luzoniensis	NA	1	Ficedula luzoniensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Schiffornis turdina	0.062489713	1604359	386	236	LC	Non-threatened	Schiffornis stenorhyncha, Schiffornis aenea, Schiffornis veraepacis	NA	3	Schiffornis stenorhyncha	Schiffornis aenea	Schiffornis veraepacis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No
Macronous gularis	0.073435774	815	10	6	LC	Non-threatened	Macronous bornensis, Macronous flavicollis, Mixornis prillwitzi, Mixornis kelleyi 	NA	4	Macronous bornensis	Macronous flavicollis	Mixornis prillwitzi	Mixornis kelleyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes, No, No
Scytalopus magellanicus	0.109996001	1242	58	12	LC	Non-threatened	S. altirostris, S. affinis, S. acutirostris, S. urubambae, S. simonsi, S. zimmeri, S. fuscus, S. canus, S. superciliaris, S. schulenbergi	NA	10	Scytalopus altirostris	Scytalopus affinis	Scytalopus acutirostris	Scytalopus urubambae	Scytalopus simonsi	Scytalopus zimmeri	Scytalopus fuscus	Scytalopus canus	Scytalopus superciliaris	Scytalopus schulenbergi	NA	NA	This one is very complicated!	Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
