SP	GD	NUM_BP	DROPPED_PAIRS	SEQS	IUCN	status	Split	New Name	N_of_splits	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	Notes	Included in Phylogeny
Phylloscopus collybita	0.014333875	3124	0	22	LC	Non-threatened	Phylloscopus ibericus, Phylloscopus tristis, Phylloscopus canariensis	NA	3	Phylloscopus ibericus	Phylloscopus tristis	Phylloscopus canariensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No, Yes
Tockus erythrorhynchus	0.014422857	191	42	10	LC	Non-threatened	Tockus damarensis	NA	1	Tockus damarensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Passerella iliaca	0.01475728	353	44	13	LC	Non-threatened	P. unalaschcensis, P. schistacea and P. megarhyncha 	NA	3	Passerella unalaschcensis	Passerella schistacea	Passerella megarhyncha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No
Turdus poliocephalus	0.014787733	664	0	10	LC	Non-threatened	T. niveiceos	NA	1	Turdus niveiceos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Colaptes auratus	0.01485677	325	30	9	LC	Non-threatened	C. cafer, C. chrysoides, C. mexicanoides	NA	3	Colaptes cafer	Colaptes chrysoides	Colaptes mexicanoides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, Yes, No
Myrmeciza hemimelaena	0.015042553	32324	0	67	LC	Non-threatened	Sciaphylax castanea	NA	1	Sciaphylax castanea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Willisornis poecilinotus	0.015095765	22556	1368	69	LC	Non-threatened	Willisornis vidua, nigrigula	NA	2	Willisornis vidua	Willisornis nigrigula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Drymophila caudata	0.015110592	53	24	7	NT	Non-threatened	D. klagesi, D. hellmayri and D. striaticeps	NA	3	Drymophila klagesi	Drymophila hellmayri	Drymophila striaticeps	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Premnoplex tatei	0.0151341	237	0	6	EN	Threatened	Premnoplex pariae	NA	1	Premnoplex pariae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Saltator grossus	0.015617821	1920	0	16	LC	Non-threatened	Saltator fuliginosus	NA	1	Saltator fuliginosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Aegithalos concinnus	0.01573493	392970	0	231	LC	Non-threatened	Aegithalos iredalei, Aegithalos annamensis	NA	2	Aegithalos iredalei	Aegithalos annamensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Dendrocolaptes certhia	0.015799614	15518	0	45	LC	Non-threatened	Dendrocolaptes sanctithomae, Dendrocolaptes punctipectus	NA	2	Dendrocolaptes sanctithomae	Dendrocolaptes punctipectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No
Xiphorhynchus fuscus	0.015903436	9487	288	39	LC	Non-threatened	Xiphorhynchus atlanticus	NA	1	Xiphorhynchus atlanticus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
